Game,Opp,WonLost,R,RA,DayNight,Attendance,Duration,Away
1,NYY,W,8,2,D,49514,217,TRUE
2,NYY,W,7,4,N,40216,215,TRUE
3,NYY,L,2,4,N,40611,158,TRUE
4,TOR,W,6,4,N,45328,215,TRUE
5,TOR,L,0,5,D,45797,158,TRUE
6,TOR,W,13,0,D,41168,164,TRUE
7,BAL,W,3,1,D,37008,162,FALSE
8,BAL,L,5,8,N,30862,173,FALSE
9,BAL,L,2,3,N,27704,195,FALSE
10,TBR,W,2,1,D,33039,203,FALSE
11,TBR,W,5,0,D,35198,169,FALSE
12,TBR,W,3,2,D,37449,183,FALSE
13,CLE,W,7,2,N,9143,210,TRUE
14,CLE,W,6,3,N,10282,204,TRUE
15,CLE,W,6,3,N,12936,193,TRUE
16,KCR,W,4,3,D,35152,178,FALSE
17,KCR,L,2,4,D,31483,174,FALSE
18,KCR,L,4,5,N,33270,191,FALSE
19,OAK,W,9,6,N,28926,209,FALSE
20,OAK,L,0,13,N,29006,153,FALSE
21,OAK,W,6,5,D,29274,220,FALSE
22,HOU,W,7,2,N,30093,179,FALSE
23,HOU,W,7,3,N,29312,229,FALSE
24,HOU,W,8,4,N,34726,220,FALSE
25,HOU,W,6,1,D,36527,176,FALSE
26,TOR,L,7,9,N,22915,194,TRUE
27,TOR,W,10,1,N,21094,172,TRUE
28,TOR,W,3,1,N,25851,202,TRUE
29,TEX,L,0,7,N,42441,184,TRUE
30,TEX,L,1,5,N,47173,175,TRUE
31,TEX,L,3,4,D,46228,215,TRUE
32,MIN,W,6,5,N,31088,284,FALSE
33,MIN,L,1,6,N,30549,181,FALSE
34,MIN,L,8,15,N,29969,222,FALSE
35,MIN,L,3,5,N,31571,184,FALSE
36,TOR,W,5,0,N,33606,166,FALSE
37,TOR,L,2,3,D,36543,162,FALSE
38,TOR,L,4,12,D,35532,193,FALSE
39,TBR,L,3,5,N,15227,194,TRUE
40,TBR,W,9,2,N,15767,211,TRUE
41,TBR,W,4,3,N,16055,223,TRUE
42,MIN,W,3,2,N,30210,204,TRUE
43,MIN,W,12,5,N,36967,233,TRUE
44,MIN,W,5,1,D,33042,195,TRUE
45,CHW,L,4,6,N,21816,172,TRUE
46,CHW,L,1,3,N,21984,165,TRUE
47,CHW,W,6,2,N,21298,195,TRUE
48,CLE,L,3,12,N,35254,214,FALSE
49,CLE,W,8,1,N,34074,175,FALSE
50,CLE,W,7,4,D,36504,204,FALSE
51,CLE,W,6,5,D,37046,199,FALSE
52,PHI,W,9,3,N,33627,206,FALSE
53,PHI,L,1,3,N,33463,150,FALSE
54,PHI,L,3,4,N,38831,188,TRUE
55,PHI,W,9,2,N,40083,195,TRUE
56,NYY,L,1,4,N,45141,173,TRUE
57,NYY,W,11,1,N,48784,205,TRUE
58,NYY,W,3,0,N,43613,118,TRUE
59,TEX,W,17,5,N,32035,190,FALSE
60,TEX,L,2,3,N,33296,197,FALSE
61,TEX,W,6,3,N,35352,201,FALSE
62,LAA,L,5,9,D,34499,240,FALSE
63,LAA,W,7,2,N,36518,205,FALSE
64,LAA,W,10,5,D,37054,213,FALSE
65,TBR,W,10,8,N,15477,324,TRUE
66,TBR,L,3,8,N,16870,186,TRUE
67,TBR,W,2,1,N,15091,202,TRUE
68,BAL,L,4,5,N,20098,275,TRUE
69,BAL,L,0,2,N,39158,163,TRUE
70,BAL,W,5,4,D,42422,168,TRUE
71,BAL,L,3,6,D,41311,186,TRUE
72,TBR,W,5,1,D,33430,190,FALSE
73,TBR,W,3,1,N,32156,147,FALSE
74,TBR,L,2,6,N,35710,201,FALSE
75,DET,L,3,4,N,36939,173,TRUE
76,DET,W,10,6,N,41126,196,TRUE
77,DET,L,3,10,N,42508,185,TRUE
78,DET,L,5,7,D,41507,227,TRUE
79,COL,W,11,4,N,36286,220,FALSE
80,COL,W,5,3,D,34632,156,FALSE
81,TOR,W,7,4,N,34750,154,FALSE
82,TOR,W,7,5,N,36383,202,FALSE
83,TOR,L,2,6,D,37437,185,FALSE
84,TOR,W,5,4,D,37425,190,FALSE
85,SDP,W,4,1,N,36498,168,FALSE
86,SDP,W,2,1,N,36911,185,FALSE
87,SDP,W,8,2,D,37607,201,FALSE
88,LAA,W,6,2,N,37092,194,TRUE
89,LAA,L,7,9,N,36112,262,TRUE
90,LAA,L,0,3,N,39018,177,TRUE
91,SEA,L,4,11,N,21830,201,TRUE
92,SEA,W,11,8,N,21076,224,TRUE
93,SEA,W,11,4,N,20468,203,TRUE
94,SEA,W,8,7,D,25367,244,TRUE
95,OAK,W,4,2,N,27084,186,TRUE
96,OAK,L,0,3,N,36067,169,TRUE
97,OAK,L,2,3,D,31417,214,TRUE
98,NYY,W,4,2,N,38130,175,FALSE
99,NYY,L,2,5,D,37601,192,FALSE
100,NYY,W,8,7,N,38138,286,FALSE
101,TBR,L,0,3,N,35016,172,FALSE
102,TBR,W,6,2,N,34609,186,FALSE
103,TBR,L,1,5,N,36514,180,FALSE
104,BAL,L,0,6,N,39063,155,TRUE
105,BAL,W,7,3,N,44765,201,TRUE
106,BAL,W,5,0,D,32891,178,TRUE
107,TBR,L,1,2,N,37242,201,FALSE
108,SEA,W,8,2,N,34578,164,FALSE
109,SEA,W,5,4,N,35059,303,FALSE
