Name,Gender,Run1,Run2
Sage Kotsenburg,M,93.5,83.25
Staale Sandbech,M,27,91.75
Mark Mcmorris,M,33.75,88.75
Sven Thorgren,M,83.75,87.5
Maxence Parrot,M,47,87.25
Jamie Nicholls,M,85.5,46.5
Peetu Piiroinen,M,78.5,81.25
Yuki Kadono,M,53,75.75
Sebastien Toutant,M,54.5,58.5
Billy Morgan,M,38,39.75
Roope Tonteri,M,31.5,39
Gjermund Braaten,M,24.75,20.5
Jamie Anderson,F,80.75,95.25
Enni Rukajarvi,F,73.75,92.5
Jenny Jones,F,73,87.25
Sina Candrian,F,77.25,87
Sarka Pancochova,F,86.25,20
Karly Shorr,F,39,75
Torah Bright,F,64.75,66.25
Isabel Derungs,F,58.5,15.25
Elena Koenz,F,24.5,54.5
Anna Gasser,F,49,51.75
Silje Norendal,F,49.5,32
Spencer O Brien,F,30,35
