Game,Opp,WonLost,Runs,RA,Time,DayNight,Attendance
1,NYY,W,8,2,217,D,49514
2,NYY,W,7,4,215,N,40216
3,NYY,L,2,4,158,N,40611
4,TOR,W,6,4,215,N,45328
5,TOR,L,0,5,158,D,45797
6,TOR,W,13,0,164,D,41168
7,BAL,W,3,1,162,D,37008
8,BAL,L,5,8,173,N,30862
9,BAL,L,2,3,195,N,27704
10,TBR,W,2,1,203,D,33039
11,TBR,W,5,0,169,D,35198
12,TBR,W,3,2,183,D,37449
13,CLE,W,7,2,210,N,9143
14,CLE,W,6,3,204,N,10282
15,CLE,W,6,3,193,N,12936
16,KCR,W,4,3,178,D,35152
17,KCR,L,2,4,174,D,31483
18,KCR,L,4,5,191,N,33270
19,OAK,W,9,6,209,N,28926
20,OAK,L,0,13,153,N,29006
21,OAK,W,6,5,220,D,29274
22,HOU,W,7,2,179,N,30093
23,HOU,W,7,3,229,N,29312
24,HOU,W,8,4,220,N,34726
25,HOU,W,6,1,176,D,36527
26,TOR,L,7,9,194,N,22915
27,TOR,W,10,1,172,N,21094
28,TOR,W,3,1,202,N,25851
29,TEX,L,0,7,184,N,42441
30,TEX,L,1,5,175,N,47173
31,TEX,L,3,4,215,D,46228
32,MIN,W,6,5,284,N,31088
33,MIN,L,1,6,181,N,30549
34,MIN,L,8,15,222,N,29969
35,MIN,L,3,5,184,N,31571
36,TOR,W,5,0,166,N,33606
37,TOR,L,2,3,162,D,36543
38,TOR,L,4,12,193,D,35532
39,TBR,L,3,5,194,N,15227
40,TBR,W,9,2,211,N,15767
41,TBR,W,4,3,223,N,16055
42,MIN,W,3,2,204,N,30210
43,MIN,W,12,5,233,N,36967
44,MIN,W,5,1,195,D,33042
45,CHW,L,4,6,172,N,21816
46,CHW,L,1,3,165,N,21984
47,CHW,W,6,2,195,N,21298
48,CLE,L,3,12,214,N,35254
49,CLE,W,8,1,175,N,34074
50,CLE,W,7,4,204,D,36504
51,CLE,W,6,5,199,D,37046
52,PHI,W,9,3,206,N,33627
53,PHI,L,1,3,150,N,33463
54,PHI,L,3,4,188,N,38831
55,PHI,W,9,2,195,N,40083
56,NYY,L,1,4,173,N,45141
57,NYY,W,11,1,205,N,48784
58,NYY,W,3,0,118,N,43613
59,TEX,W,17,5,190,N,32035
60,TEX,L,2,3,197,N,33296
61,TEX,W,6,3,201,N,35352
62,LAA,L,5,9,240,D,34499
63,LAA,W,7,2,205,N,36518
64,LAA,W,10,5,213,D,37054
65,TBR,W,10,8,324,N,15477
66,TBR,L,3,8,186,N,16870
67,TBR,W,2,1,202,N,15091
68,BAL,L,4,5,275,N,20098
69,BAL,L,0,2,163,N,39158
70,BAL,W,5,4,168,D,42422
71,BAL,L,3,6,186,D,41311
72,TBR,W,5,1,190,D,33430
73,TBR,W,3,1,147,N,32156
74,TBR,L,2,6,201,N,35710
75,DET,L,3,4,173,N,36939
76,DET,W,10,6,196,N,41126
77,DET,L,3,10,185,N,42508
78,DET,L,5,7,227,D,41507
79,COL,W,11,4,220,N,36286
