Involved Family,Supportive Environment,Safe,ACT Spring 2013 Average Grade 11,College Enrollment Rate Percentage 2013
NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,16.3,56.60%
NEUTRAL,STRONG,STRONG,16.1,52.90%
VERY WEAK,NEUTRAL,NEUTRAL,14.9,35.90%
VERY WEAK,WEAK,WEAK,13.7,51.70%
WEAK,NEUTRAL,WEAK,16.5,65.50%
VERY WEAK,VERY WEAK,VERY WEAK,16,74.60%
NOT ENOUGH DATA,NEUTRAL,STRONG,19.1,74.60%
NEUTRAL,STRONG,NEUTRAL,19.1,56.50%
NEUTRAL,NEUTRAL,STRONG,13.1,14.30%
NEUTRAL,NEUTRAL,NEUTRAL,16.3,62.30%
STRONG,STRONG,STRONG,20.4,77.40%
STRONG,STRONG,NEUTRAL,19.3,95%
NEUTRAL,STRONG,STRONG,20.5,79.60%
NEUTRAL,STRONG,NEUTRAL,20.9,85.20%
NEUTRAL,STRONG,STRONG,20.1,78%
NEUTRAL,STRONG,NEUTRAL,18.3,72%
VERY STRONG,STRONG,STRONG,21.7,55.40%
NEUTRAL,NEUTRAL,NEUTRAL,16.3,63.80%
NEUTRAL,NEUTRAL,NEUTRAL,16.1,68.20%
NEUTRAL,NEUTRAL,WEAK,16.2,77.30%
NEUTRAL,NEUTRAL,WEAK,15.9,67%
STRONG,NEUTRAL,NEUTRAL,18.5,67.60%
NEUTRAL,NEUTRAL,NEUTRAL,16.7,70.30%
VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,13.7,28.90%
NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,14.9,54.50%
NEUTRAL,NEUTRAL,WEAK,17.4,83.30%
STRONG,STRONG,STRONG,18.1,66.70%
WEAK,NEUTRAL,WEAK,17.2,80%
NEUTRAL,NEUTRAL,NEUTRAL,16.2,67.40%
WEAK,NEUTRAL,NEUTRAL,14,47.70%
VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,13.8,26.70%
NEUTRAL,NEUTRAL,WEAK,14.7,43.90%
NEUTRAL,WEAK,WEAK,14.6,65.30%
STRONG,STRONG,VERY STRONG,26.3,88.50%
VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,18.3,61.80%
VERY STRONG,VERY STRONG,VERY STRONG,29.3,87.40%
WEAK,WEAK,WEAK,14.6,41.40%
NEUTRAL,NEUTRAL,NEUTRAL,15.9,53.70%
NEUTRAL,NEUTRAL,NEUTRAL,16.7,67%
NEUTRAL,NEUTRAL,NEUTRAL,16.5,47.70%
NEUTRAL,NEUTRAL,STRONG,16.5,48.60%
NEUTRAL,WEAK,WEAK,15.3,53.10%
STRONG,NEUTRAL,NEUTRAL,13.2,39.20%
NEUTRAL,WEAK,WEAK,15.6,38.10%
NEUTRAL,NEUTRAL,NEUTRAL,14.3,38.30%
WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,13.4,53%
WEAK,WEAK,WEAK,15,39.30%
VERY WEAK,WEAK,VERY WEAK,15,33.90%
NEUTRAL,WEAK,WEAK,14.9,54.40%
WEAK,NEUTRAL,WEAK,14.1,42.50%
WEAK,WEAK,VERY WEAK,13.7,46.70%
WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,14.9,58%
NOT ENOUGH DATA,NEUTRAL,WEAK,16.9,50.40%
